True;16;0;1802.71535969476; - 0 - 3 - 2 - 4 - 1 - 5;6;22;12;0.1;0.9;192.168.0.185
True;16;0;1639.22644694629; - 0 - 3 - 4 - 5 - 2 - 1;6;33;12;0.1;0.9;192.168.0.185
True;67;0.003;3628.36317745072; - 0 - 9 - 5 - 20 - 10 - 4 - 14 - 13 - 15 - 1 - 8 - 19 - 3 - 11 - 2 - 17 - 16 - 21 - 7 - 18 - 6 - 12;22;100;14;0.1;0.9;192.168.0.185
True;97;0.008;3628.36317745072; - 0 - 9 - 5 - 20 - 10 - 4 - 14 - 13 - 15 - 1 - 8 - 19 - 3 - 11 - 2 - 17 - 16 - 21 - 7 - 18 - 6 - 12;22;100;14;0.1;0.9;192.168.0.234
False;0;25.941;0;brak optymalnej sciezki;55;200;14;0.1;0.9;192.168.0.185
False;0;70.068;0;brak optymalnej sciezki;55;200;14;0.1;0.9;192.168.0.234
True;13;0.003;1840.03448810285; - 0 - 2 - 3 - 4 - 5 - 1;6;44;11;0.1;0.9;192.168.0.185
True;14;0,001;1889,60153559513; - 0 - 3 - 2 - 1 - 4 - 5;6;23;8;0,1;0,9;192.168.26.249
True;19;0,001;2149,05757857484; - 0 - 1 - 3 - 5 - 2 - 4;6;25;8;0,1;0,9;192.168.26.249
True;15;0,001;1655,25888062139; - 0 - 2 - 5 - 4 - 3 - 1;6;25;8;0,1;0,9;192.168.26.249
True;36;0.009;2690.88513876049; - 0 - 10 - 1 - 2 - 8 - 5 - 4 - 6 - 11 - 7 - 3 - 9;12;44;12;0.1;0.9;192.168.0.178
True;15;0.004;2147.64387305606; - 0 - 4 - 2 - 1 - 3 - 5;6;28;15;0.1;0.9;192.168.0.178
True;18;0.004;1591.09382916395; - 0 - 2 - 4 - 5 - 1 - 3;6;33;15;0.1;0.9;192.168.0.178
True;20;0.005;2200.03907159774; - 0 - 2 - 3 - 4 - 1 - 5;6;22;14;0.1;0.9;192.168.0.178
True;13;0.003;1293.72310410348; - 0 - 2 - 3 - 5 - 1 - 4;6;33;12;0.1;0.9;192.168.0.185
True;12;0.003;1532.09805030687; - 1 - 4 - 5 - 3 - 2 - 0;6;33;12;0.2;0.8;192.168.0.185
True;13;0.003;1532.09805030687; - 1 - 4 - 5 - 3 - 2 - 0;6;33;12;0.3;0.7;192.168.0.185
True;11;0.003;1532.09805030687; - 1 - 4 - 5 - 3 - 2 - 0;6;33;12;0.3;0.7;192.168.0.185
True;20;0.005;1953.71628983699; - 1 - 0 - 2 - 9 - 3 - 7 - 8 - 6 - 5 - 4;10;40;12;0.3;0.7;192.168.0.185
True;28;0.007;1964.66608815489; - 1 - 0 - 9 - 2 - 8 - 3 - 7 - 6 - 5 - 4;10;40;12;0.1;0.9;192.168.0.185
True;29;0.007;1896.72964730963; - 1 - 0 - 2 - 9 - 4 - 5 - 6 - 3 - 7 - 8;10;40;12;0.1;0.9;192.168.0.185
True;28;0.007;1896.72964730963; - 1 - 0 - 2 - 9 - 4 - 5 - 6 - 3 - 7 - 8;10;40;12;0.1;0.9;192.168.0.185
True;17;0.004;1934.54652767111; - 1 - 0 - 9 - 2 - 7 - 8 - 3 - 6 - 5 - 4;10;40;12;0.3;0.7;192.168.0.185
True;28;0.007;1896.72964730963; - 1 - 0 - 2 - 9 - 4 - 5 - 6 - 3 - 7 - 8;10;40;12;0.3;0.7;192.168.0.185
True;25;6.734;1975.15365934165; - 1 - 4 - 5 - 6 - 3 - 7 - 8 - 9 - 0 - 2;10;40;12;0.3;0.7;192.168.0.185
True;9;2.585;1919.73326734277; - 1 - 0 - 4 - 5 - 6 - 3 - 7 - 8 - 9 - 2;10;40;12;0.3;0.7;192.168.0.185
True;7;2.068;2199.03837740521; - 1 - 0 - 5 - 4 - 6 - 3 - 7 - 8 - 2 - 9;10;40;12;0.3;0.7;192.168.0.185
True;6;1.806;2232.03250262084; - 1 - 4 - 5 - 9 - 0 - 2 - 3 - 8 - 7 - 6;10;40;12;0.3;0.7;192.168.0.185
True;11;3.066;2143.42836409165; - 1 - 4 - 5 - 6 - 3 - 7 - 9 - 0 - 2 - 8;10;40;12;0.3;0.7;192.168.0.185
True;26;7.007;2776.26333701147; - 0 - 5 - 4 - 7 - 6 - 2 - 1 - 8 - 3 - 9;10;33;12;0.1;0.9;192.168.0.185
True;31;8.305;2537.3463982085; - 0 - 4 - 1 - 8 - 7 - 3 - 9 - 5 - 2 - 6;10;44;12;0.1;0.9;192.168.0.185
True;36;10.371;2490.06653334202; - 0 - 3 - 4 - 1 - 6 - 8 - 9 - 5 - 7 - 2;10;100;5;0.1;0.9;192.168.0.185
